title,stars,price,stock
A Light in the Attic,Three,£51.77,In
Tipping the Velvet,One,£53.74,In
Soumission,One,£50.10,In
Sharp Objects,Four,£47.82,In
Sapiens: A Brief History of Humankind,Five,£54.23,In
The Requiem Red,One,£22.65,In
The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,In
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,In
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,In
The Black Maria,One,£52.15,In
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,In
Shakespeare's Sonnets,Four,£20.66,In
Set Me Free,Five,£17.46,In
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,In
Rip it Up and Start Again,Five,£35.02,In
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,In
Olio,One,£23.88,In
Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,In
Libertarianism for Beginners,Two,£51.33,In
It's Only the Himalayas,Two,£45.17,In
In Her Wake,One,£12.84,In
How Music Works,Two,£37.32,In
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,In
Chase Me (Paris Nights #2),Five,£25.27,In
Black Dust,Five,£34.53,In
Birdsong: A Story in Pictures,Three,£54.64,In
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,In
Aladdin and His Wonderful Lamp,Three,£53.13,In
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,£40.30,In
Wall and Piece,Four,£44.18,In
The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,In
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,In
The Elephant Tree,Five,£23.82,In
The Bear and the Piano,One,£36.89,In
Sophie's World,Five,£15.94,In
Penny Maybe,Three,£33.29,In
Maude (1883-1993):She Grew Up with the country,Two,£18.02,In
"In a Dark, Dark Wood",One,£19.63,In
Behind Closed Doors,Four,£52.22,In
You can't bury them all: Poems,Two,£33.63,In
Slow States of Collapse: Poems,Three,£57.31,In
Reasons to Stay Alive,Two,£26.41,In
Private Paris (Private #10),Five,£47.61,In
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,£23.11,In
Without Borders (Wanderlove #1),Two,£45.07,In
When We Collided,One,£31.77,In
"We Love You, Charlie Freeman",Five,£50.27,In
Untitled Collection: Sabbath Poems 2014,Four,£14.27,In
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,£44.18,In
Unicorn Tracks,Three,£18.78,In
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,£25.52,In
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,£16.28,In
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,£31.12,In
This One Summer,Four,£19.49,In
Thirst,Five,£17.27,In
The Torch Is Passed: A Harding Family Story,One,£19.09,In
The Secret of Dreadwillow Carse,One,£56.13,In
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,£56.41,In
The Past Never Ends,Four,£56.50,In
The Natural History of Us (The Fine Art of Pretending #2),Three,£45.22,In
The Nameless City (The Nameless City #1),Four,£38.16,In
The Murder That Never Was (Forensic Instincts #5),Three,£54.11,In
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,£42.96,In
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,£23.89,In
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,£16.77,In
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,£20.59,In
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,£37.13,In
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,£56.06,In
The Death of Humanity: and the Case for Life,Four,£58.11,In
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,£49.05,In
The Art Forger,Three,£40.76,In
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,£19.73,In
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,£32.24,In
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,£41.83,In
Soul Reader,Two,£39.58,In
Security,Two,£39.25,In
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,£25.02,In
"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,£51.04,In
Reskilling America: Learning to Labor in the Twenty-First Century,Two,£19.83,In
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,£50.40,In
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,£13.61,In
Princess Between Worlds (Wide-Awake Princess #5),Five,£13.34,In
"Pop Gun War, Volume 1: Gift",One,£18.97,In
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,£36.28,In
Patience,Three,£10.16,In
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,£15.44,In
orange: The Complete Collection 1 (orange: The Complete Collection #1),One,£48.41,In
Online Marketing for Busy Authors: A Step-By-Step Guide,One,£46.35,In
On a Midnight Clear,Three,£14.07,In
Obsidian (Lux #1),Two,£14.86,In
My Paris Kitchen: Recipes and Stories,Two,£33.37,In
Masks and Shadows,Two,£56.40,In
